,confidence_power,imputed pseudocluster,conf_bool,conf_scores
5_20_3120802,0.948,0.39665776935262204,True,0.09402782329058212
5_20_3121020,0.875,0.2230716876435971,True,0.0651643201661184
5_20_3121026,0.379,0.26620394592603647,False,-0.016944647461523354
5_20_3121041,0.731,0.23515424408579566,True,0.03350583921105954
5_20_3121044,0.745,0.22060426007123293,True,0.03557599364917019
5_20_3121116,0.876,0.20904736019968792,True,0.06580163169610731
5_20_3121133,0.679,0.19756704653331247,True,0.025563311759759677
5_20_3121160,0.92,0.1483772536661692,True,0.07836674464031412
5_20_3121277,0.9,0.1464019349575595,True,0.07326373800077257
5_20_3121285,0.874,0.1683269759818842,True,0.06452497334663576
5_20_3121347,0.769,0.2009068685065961,True,0.039154852507683024
5_20_3121353,0.401,0.34799681789335263,False,-0.014243704825122272
5_20_3150439,0.089,0.35515392228087406,False,-0.0743023886002947
5_20_3150466,0.964,0.30897243413889425,True,0.1047168379285196
5_20_3220092,0.888,0.20306598979304466,True,0.06902326543936022
5_20_3261496,0.547,0.24686266616767716,True,0.00626650433828535
5_20_3261615,0.876,0.2823828146980782,True,0.0657712933130391
5_20_3270121,0.944,0.27310995479946576,True,0.09031460658056922
6_21_490428,0.49,0.27852750711368546,False,-0.0015730711360377736
6_21_490429,0.322,0.2517831851752699,False,-0.02705435308373838
6_21_490471,0.717,0.33869517001537763,True,0.030940261160594784
6_21_490509,0.531,0.435954794938167,True,0.003950108438095845
6_21_490531,0.964,0.23656232065630747,True,0.10426214304216941
6_21_490557,0.876,0.35235638843482503,True,0.06585986484862427
6_21_490588,0.881,0.7002947484075397,True,0.06753289209525193
6_21_490612,0.414,0.22335274643134626,False,-0.012239663453137872
6_21_490653,0.862,0.3904275459618204,True,0.06139868370035739
6_21_490656,0.796,0.3291262388595069,True,0.044676593105653084
6_21_490658,0.56,0.35856455895716943,True,0.009019803638146695
6_21_490681,0.623,0.15439098267375173,True,0.017490929460945548
6_21_490687,0.262,0.3511939323089095,False,-0.03608300185359581
6_21_490698,0.696,0.4150225614138795,True,0.028404310056480253
6_21_490706,0.761,0.24986273000617815,True,0.0380410271972933
6_21_490708,0.889,0.4531236037829627,True,0.06951399120708068
6_21_490715,0.945,0.35059292166465605,True,0.09150070892949358
6_21_490740,0.62,0.5584355233913515,True,0.017129032386401066
6_21_490742,0.792,0.26785079254690336,True,0.04361980882225136
6_21_490745,0.561,0.2346730117485584,True,0.00917523912240692
6_21_490748,0.497,0.4665026113743565,False,-0.00033980530263511
6_21_490755,0.968,0.3399202078411685,True,0.10793198385259306
6_21_490757,0.375,0.42105442136811494,False,-0.01715098880840804
6_21_490782,0.845,0.36544319635113287,True,0.05798635638035199
6_21_490787,0.968,0.41026424048722093,True,0.10959974227702207
